"","CODE","GVC_Ui","YEAR","BEA_CLASS"
"407","811200",2.34729790687561,"2002","BEA2002"
"408","811300",2.91021203994751,"2002","BEA2002"
"409","811400",1.99276804924011,"2002","BEA2002"
"410","812100",1.0168080329895,"2002","BEA2002"
"411","812200",1,"2002","BEA2002"
"412","812300",1.66316103935242,"2002","BEA2002"
"413","812900",1.17463505268097,"2002","BEA2002"
"414","813100",1,"2002","BEA2002"
"415","813A00",1.00672101974487,"2002","BEA2002"
"416","813B00",1.86018598079681,"2002","BEA2002"
"417","814000",1,"2002","BEA2002"
"418","S00101",1,"2002","BEA2002"
"419","S00102",3.25180792808533,"2002","BEA2002"
"420","S00201",1,"2002","BEA2002"
"421","S00202",1,"2002","BEA2002"
"422","S00203",1.36487400531769,"2002","BEA2002"
"423","S00500",1,"2002","BEA2002"
"424","S00600",1,"2002","BEA2002"
"425","S00700",1,"2002","BEA2002"
"426","S00800",1,"2002","BEA2002"
"427","1111A0",4.63267047203317,"2007","BEA2007"
"428","1111B0",3.57631584178307,"2007","BEA2007"
"429","111200",1.16070406631346,"2007","BEA2007"
"430","111300",1.50276973580662,"2007","BEA2007"
"431","111400",1.79853715394438,"2007","BEA2007"
"432","111900",2.99941453421889,"2007","BEA2007"
"433","112120",2.66894428095259,"2007","BEA2007"
"434","1121A0",2.99887276037111,"2007","BEA2007"
"435","112300",2.47107831331437,"2007","BEA2007"
"436","112A00",2.50892909212098,"2007","BEA2007"
"437","113000",4.10875445746933,"2007","BEA2007"
"438","114000",2.05090573783036,"2007","BEA2007"
"439","115000",3.932105450579,"2007","BEA2007"
"440","211000",3.25474555158507,"2007","BEA2007"
"441","212100",3.43037086690674,"2007","BEA2007"
"442","212230",4.06612746778774,"2007","BEA2007"
"443","2122A0",4.43040525396827,"2007","BEA2007"
"444","212310",2.82649479774045,"2007","BEA2007"
"445","2123A0",3.20077122021576,"2007","BEA2007"
"446","213111",1.00277975859685,"2007","BEA2007"
"447","21311A",1.52679831535852,"2007","BEA2007"
"448","221100",2.19342377292924,"2007","BEA2007"
"449","221200",2.39715908253129,"2007","BEA2007"
"450","221300",1.85705674894052,"2007","BEA2007"
"451","230301",3.01233786186276,"2007","BEA2007"
"452","230302",2.04290291752341,"2007","BEA2007"
"453","233210",1,"2007","BEA2007"
"454","233230",1,"2007","BEA2007"
"455","233240",1,"2007","BEA2007"
